epoch,lr,time,loss
0,0.001,18:15:10,2.117620325088501
1,0.001,18:15:11,1.023692994316419
2,0.001,18:15:12,0.652496430112256
3,0.001,18:15:12,0.4922918895052539
4,0.001,18:15:13,0.42379986602399083
5,0.001,18:15:14,0.37656576931476593
6,0.001,18:15:15,0.36022706805831856
7,0.001,18:15:16,0.3440422888638245
8,0.001,18:15:16,0.33273301149408024
9,0.001,18:15:17,0.32203268284598985
10,0.001,18:15:18,0.31753991747068033
11,0.001,18:15:19,0.3136578084073133
12,0.001,18:15:20,0.30896175189150704
13,0.001,18:15:21,0.3076342495986157
14,0.001,18:15:21,0.30369290622572104
15,0.001,18:15:22,0.30154314403318694
16,0.001,18:15:23,0.29988009037656915
17,0.001,18:15:24,0.29705874325914516
18,0.001,18:15:25,0.29819477931078936
19,0.001,18:15:25,0.2959076822011007
20,0.001,18:15:26,0.29746967495108645
21,0.001,18:15:27,0.29519817852932545
22,0.001,18:15:28,0.2934142440143559
23,0.001,18:15:29,0.29329069651559825
24,0.001,18:15:30,0.29118018736028006
25,0.001,18:15:31,0.2914220429542992
26,0.001,18:15:31,0.290998303434915
27,0.001,18:15:32,0.29263874197171796
28,0.001,18:15:33,0.28759656267033684
29,0.001,18:15:34,0.2885591137326426
30,0.001,18:15:34,0.28945656228396627
31,0.001,18:15:35,0.2884623454676734
32,0.001,18:15:36,0.28729628953668807
33,0.001,18:15:37,0.2868596074895726
34,0.001,18:15:38,0.28567663015176853
35,0.001,18:15:38,0.28504340855611693
36,0.001,18:15:39,0.28327987152669165
37,0.001,18:15:40,0.28409939507643384
38,0.001,18:15:41,0.2831987600152691
39,0.001,18:15:42,0.28377401442267003
40,0.001,18:15:42,0.2828014163300395
41,0.001,18:15:43,0.28116586142116123
42,0.001,18:15:44,0.2805855356777708
